query,query_group,mode,result_count,precision_at_10,avg_relevance,dcg_at_10,ndcg_at_10,mrr_at_10,latency_ms
dog on beach,combined,qdrant_keyword,10,1.0,1.9,12.368818507122121,0.9476171368560403,1.0,550.3209000016795
dog on beach,combined,qdrant_keyword_object,10,1.0,2.0,13.630678014265037,1.0,1.0,526.4502999925753
dog on beach,combined,qdrant_object,10,1.0,2.0,13.630678014265037,1.0,1.0,310.99410000024363
dog on beach,combined,qdrant_object_rerank,10,1.0,2.0,13.630678014265037,1.0,1.0,84.79359999182634
dog on beach,combined,qdrant_semantic,10,1.0,1.8,11.656404132906077,0.9362206353857262,1.0,82.17170000716578
person,object_like,qdrant_keyword,10,1.0,1.8,12.191195245482474,0.979174059915808,1.0,480.56549999455456
person,object_like,qdrant_keyword_object,10,1.0,2.0,13.630678014265037,1.0,1.0,517.7389000018593
person,object_like,qdrant_object,10,1.0,2.0,13.630678014265037,1.0,1.0,330.3883000044152
person,object_like,qdrant_object_rerank,10,1.0,2.0,13.630678014265037,1.0,1.0,141.9311000063317
person,object_like,qdrant_semantic,10,0.6,1.1,7.949166947400328,0.8638910950182956,1.0,141.5558000007877
person in street photography,combined,qdrant_keyword,10,1.0,1.8,12.340133987413216,0.9911365418282454,1.0,520.5826000019442
person in street photography,combined,qdrant_keyword_object,10,1.0,1.8,12.340133987413216,0.9911365418282454,1.0,495.038699998986
person in street photography,combined,qdrant_object,10,1.0,1.8,12.340133987413216,0.9911365418282454,1.0,317.9917000088608
person in street photography,combined,qdrant_object_rerank,10,1.0,1.8,12.340133987413216,0.9911365418282454,1.0,135.3975999954855
person in street photography,combined,qdrant_semantic,10,1.0,1.8,12.340133987413216,0.9911365418282454,1.0,106.10649999580346
